                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2202,                 3.5815,                0.98404,                0.84856,                0.25295,                0.46286,                0.32138,                 1.1568,                 2.7458,                0.93943,                 0.0033,                 0.0033,                 0.0033
                      1,                 1.1906,                 2.0192,                 0.9843,                 0.4823,                 0.5746,                0.60007,                0.39348,                 1.0851,                 1.6505,                0.96157,              0.0066268,              0.0066268,              0.0066268
                      2,                 1.2353,                 1.9011,                 1.0086,                0.57614,                0.66239,                0.64959,                0.40163,                 1.1958,                 1.8104,                 1.0161,              0.0099469,              0.0099469,              0.0099469
                      3,                 1.2624,                 1.7058,                 1.0273,                0.54604,                0.63627,                0.60152,                 0.3442,                 1.2817,                 1.9082,                 1.0577,              0.0099703,              0.0099703,              0.0099703
                      4,                 1.2301,                 1.4989,                 1.0235,                0.65339,                 0.6692,                0.76421,                0.47925,                 1.1219,                 1.4104,                 1.0261,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.1961,                 1.3451,                 1.0256,                0.72858,                0.82897,                0.82628,                0.50749,                  1.213,                  1.205,                 1.0751,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.1618,                 1.1803,                 1.0083,                 0.6763,                 0.6807,                0.72621,                0.44636,                 1.1891,                 1.2815,                  1.034,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.1572,                 1.1041,                 1.0052,                0.80756,                0.71561,                0.82087,                0.55302,                 1.0627,                0.99138,                 1.0057,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.1417,                 1.0336,                  1.007,                0.79611,                0.78087,                0.87292,                0.60997,                 1.0818,                0.95212,                 0.9959,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.1377,                0.98706,                 1.0099,                 0.9027,                0.73398,                0.86539,                0.58401,                 1.1204,                0.99085,                 1.0427,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.1254,                0.94385,                 1.0023,                0.91406,                0.85159,                0.91947,                0.61629,                 1.0897,                 0.8541,                0.99129,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.1085,                0.88825,                0.99472,                0.87504,                0.74892,                0.89917,                0.60948,                 1.1186,                0.89444,                 1.0048,               0.009901,               0.009901,               0.009901
                     12,                 1.0868,                0.85666,                0.99399,                 0.8739,                0.83122,                 0.9206,                0.63953,                 1.0259,                0.91977,                0.98302,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.0872,                0.83725,                0.98668,                0.89164,                0.84213,                0.91897,                0.64927,                 1.0339,                0.83902,                0.99705,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.0622,                0.79991,                0.97699,                0.87942,                0.86277,                0.94076,                 0.6629,                 1.0118,                0.75975,                0.96788,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.0721,                0.79414,                0.98806,                0.82433,                0.87374,                0.92435,                0.64081,                 1.0723,                0.83414,                0.99134,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.0444,                0.77036,                 0.9784,                0.93149,                0.86952,                0.95117,                0.66583,                 1.0142,                0.74566,                0.97814,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.0456,                0.75345,                0.97142,                0.92426,                0.86985,                0.94598,                0.68391,                  0.979,                0.70889,                0.96669,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.0638,                0.74825,                0.98205,                0.87067,                0.84753,                0.91464,                0.65962,                 1.0021,                0.77456,                0.99365,              0.0098317,              0.0098317,              0.0098317
                     19,                 1.0397,                 0.7279,                0.96984,                0.91735,                0.89586,                0.94913,                 0.6609,                 1.0063,                0.72965,                0.97437,              0.0098218,              0.0098218,              0.0098218
                     20,                  1.021,                0.72316,                0.96684,                0.91502,                0.83986,                0.90706,                0.64575,                 1.0069,                 0.7977,                0.98348,              0.0098119,              0.0098119,              0.0098119
                     21,                 1.0189,                0.70635,                0.96382,                0.88784,                0.81605,                  0.899,                0.62879,                 1.0195,                0.79255,                0.96332,               0.009802,               0.009802,               0.009802
                     22,                 1.0115,                0.68948,                0.96307,                0.88027,                0.84393,                0.93463,                0.66349,                 1.0348,                0.74255,                 1.0062,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.0113,                0.68843,                0.96184,                0.84301,                0.80521,                0.90234,                0.62723,                  1.035,                0.81719,                0.98344,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.0116,                0.69121,                0.95971,                0.86396,                0.86343,                0.93146,                0.65808,                 1.0099,                0.81723,                0.97609,              0.0097723,              0.0097723,              0.0097723
                     25,                0.98046,                0.65963,                0.95171,                0.90667,                0.88759,                0.92814,                0.67103,                0.97773,                0.68356,                0.94979,              0.0097624,              0.0097624,              0.0097624
